Clip,Prolongation,Block,SoundRep,WordRep,Interjection
WomenWhoStutter_0_15,0.0010947619,0.33916968,0.9542072,3.776577e-05,0.0010288914
HeStutters_23_178,0.023689466,0.010350123,0.00045902707,0.0011655632,0.9995479
MyStutteringLife_23_89,0.00017561088,0.057655565,0.0002775693,6.802574e-05,0.00050808676
WomenWhoStutter_40_18,0.004224549,0.36345944,0.0014003323,0.9981001,0.060995374
MyStutteringLife_7_113,0.006197493,0.012896662,0.00021751226,4.2140822e-05,0.00022765182
StutterTalk_28_37,0.0025309478,0.019654939,0.9884221,0.0015278152,0.0010232984
WomenWhoStutter_77_11,0.97743285,0.03320975,0.018187704,3.3086384e-05,0.0043353927
StutterTalk_63_59,0.0019112598,0.65590316,0.04064917,0.00016114625,0.9901211
WomenWhoStutter_36_18,0.1627816,0.23793873,0.0014066055,0.0001925801,0.9821154
WomenWhoStutter_21_86,0.04181271,0.22061794,0.00052181905,0.00045758844,0.0010080448
WomenWhoStutter_88_216,0.0011902467,0.61872023,0.96777815,0.00016792842,0.00074714597
IStutterSoWhat_2_50,0.00038335117,0.067328565,0.99330056,0.007342048,0.0020134125
WomenWhoStutter_36_25,0.004871782,0.001054892,0.012985046,0.0018322231,0.93026793
WomenWhoStutter_74_89,0.00056320004,0.018374532,0.00029110102,0.99021053,0.06087213
WomenWhoStutter_86_14,0.004118021,0.3517174,0.28850666,0.0019468451,0.9986187
WomenWhoStutter_94_28,0.000793382,0.06745255,0.0065023936,0.0032133334,0.9988273
StutterTalk_27_8,0.002718489,0.8599858,0.431004,1.797409e-05,0.00018010664
HeStutters_16_6,0.99230605,0.21972315,0.00055841875,0.0005360017,0.008398181
StutterTalk_25_142,0.0001812229,0.42279482,0.90713173,0.43817252,0.17631957
StrongVoices_32_152,0.9926813,0.14290634,0.026956595,0.00020228735,0.008838203
StrongVoices_8_38,0.000652624,0.9275068,0.00029618008,0.004996312,0.0030196628
MyStutteringLife_13_19,0.06213247,0.17110412,0.0010980917,0.79210746,0.01641182
StutteringIsCool_82_143,3.1119627e-05,0.13039207,0.006860116,8.823079e-05,0.008161786
