Clip,WordRep,Interjection
HeStutters_8_2,0.0033046985,8.087133e-05
StutteringIsCool_2_29,0.0023185783,0.00011334327
WomenWhoStutter_34_101,0.000597258,0.021747466
StutteringIsCool_25_14,0.001436077,0.9992955
StutteringIsCool_60_13,0.0007507417,0.00022887845
StrongVoices_23_53,0.0012056918,0.00016754023
StutteringIsCool_50_8,0.001164646,0.0005066094
WomenWhoStutter_57_103,0.0016146278,0.00011792032
HeStutters_19_152,0.0013152412,0.0001341895
StutteringIsCool_80_31,0.0014843139,0.0003850673
HVSA_3_183,0.00020054952,0.97152835
MyStutteringLife_22_34,0.0010937633,0.00016490436
WomenWhoStutter_6_201,0.002168837,0.99919087
WomenWhoStutter_86_137,0.0823979,0.000367626
StutteringIsCool_63_16,0.39327857,0.00022264275
HeStutters_18_194,0.9990989,0.0016796803
WomenWhoStutter_97_94,0.9988431,0.001204416
WomenWhoStutter_93_36,0.0007268542,0.00021157347
WomenWhoStutter_42_47,0.0015980463,0.00011776313
StrongVoices_26_30,0.0041803876,7.139334e-05
HVSA_1_55,0.0012582918,0.00013971
WomenWhoStutter_87_71,0.0024769728,9.548118e-05
HeStutters_17_10,0.9991442,0.41464776
WomenWhoStutter_6_203,0.00094345695,0.00017330238
StutteringIsCool_38_29,0.0022757407,0.00011229683
StutteringIsCool_80_177,0.0011290993,0.00014442585
StutteringIsCool_81_3,0.002313459,0.99955434
StutteringIsCool_68_38,0.00096113596,0.9989354
MyStutteringLife_35_158,0.00145011,0.0003836839
StutterTalk_52_0,0.0016440722,0.99936503
WomenWhoStutter_8_12,0.0010096139,0.00016198988
HeStutters_7_30,0.0017133305,0.00013520726
StutterTalk_33_41,0.0003598378,0.00061166927
WomenWhoStutter_6_20,0.0010375284,0.9990299
StutterTalk_27_16,0.00016116102,0.05148605
StutterTalk_68_142,0.531935,5.579211e-05
WomenWhoStutter_2_51,0.001395915,0.0001450624
HeStutters_23_202,0.0007869824,0.00019128459
HeStutters_12_167,0.99877864,0.012738344
WomenWhoStutter_39_189,0.0009368571,0.99538064
StutteringIsCool_84_34,0.0003287356,0.00048054225
StutterTalk_34_15,0.0020731764,0.00011380929
WomenWhoStutter_65_10,0.0020311996,0.00011423616
WomenWhoStutter_50_426,0.0019216652,0.000117630014
StutterTalk_75_18,0.99953854,0.0019594026
WomenWhoStutter_21_205,0.00061287085,0.0006356921
StutterTalk_28_12,0.115383975,3.8271388e-05
WomenWhoStutter_6_5,0.0013300235,0.00014178266
StrongVoices_10_174,0.00782358,5.790676e-05
StrongVoices_10_114,0.00014938603,0.42723957
StutteringIsCool_34_175,0.0005113259,0.99181414
StutteringIsCool_80_181,0.00020993492,0.3439169
StutteringIsCool_37_18,0.0011528191,0.00014648716
StrongVoices_6_105,0.0006440504,0.00025451308
WomenWhoStutter_30_53,0.0007434517,0.00022430984
WomenWhoStutter_82_20,0.0003052293,0.97117954
StrongVoices_32_116,0.00064002967,0.00023007087
IStutterSoWhat_2_69,0.003828397,7.869562e-05
StutterTalk_59_32,0.001546597,0.0001235963
HeStutters_6_287,0.012771983,0.00014402551
WomenWhoStutter_22_28,0.99043244,0.004159687
StutteringIsCool_34_148,0.00035922497,0.9823
IStutterSoWhat_0_197,0.0017520989,0.00014028989
StrongVoices_4_22,0.0007152675,0.9981609
StutterTalk_64_180,5.7229438e-05,0.14418678
WomenWhoStutter_101_44,0.0010401114,0.00015687567
StutterTalk_8_123,0.9994623,0.0015827315
StrongVoices_32_38,0.0014170383,0.00012896702
MyStutteringLife_15_33,0.98767406,0.00034804587
WomenWhoStutter_88_149,0.9996631,0.0043425653
StrongVoices_21_68,0.012780403,5.1954896e-05
StutterTalk_57_27,0.0026732502,0.999522
WomenWhoStutter_23_39,0.0017964476,0.99943453
StrongVoices_34_22,0.0007703288,0.0001929957
StutteringIsCool_75_0,0.00058103434,0.000285476
MyStutteringLife_25_17,0.9652243,0.00022142167
IStutterSoWhat_0_176,0.00035093422,0.0009184267
WomenWhoStutter_97_48,0.99833304,0.0021216392
HeStutters_15_58,0.0020571786,0.00010113004
IStutterSoWhat_0_148,0.00014621195,0.92803514
WomenWhoStutter_41_28,0.030068606,4.9924907e-05
WomenWhoStutter_1_35,0.0025925485,0.99958664
IStutterSoWhat_3_131,0.0017784617,0.00014512065
WomenWhoStutter_103_9,0.002015185,0.00010223959
WomenWhoStutter_102_31,0.00027764845,0.0026082527
WomenWhoStutter_14_193,0.0009769328,0.00016157338
IStutterSoWhat_2_119,0.00096233276,0.00017607382
HVSA_1_76,0.050852276,7.213929e-05
WomenWhoStutter_86_10,0.998151,0.9900177
StutterTalk_33_67,0.0034377673,0.99965346
WomenWhoStutter_25_9,0.0003542553,0.0005602676
WomenWhoStutter_57_39,0.9984769,0.0009037627
HeStutters_18_21,0.0017888764,0.99943274
WomenWhoStutter_88_73,0.90386796,6.8503105e-05
WomenWhoStutter_19_155,0.00083182345,0.00019336393
WomenWhoStutter_84_26,0.0019728118,0.99943846
StutterTalk_18_9,0.00019888481,0.9736249
StutteringIsCool_55_32,9.636634e-05,0.36318156
StutteringIsCool_38_33,0.0010098731,0.00015915118
StutterTalk_37_137,0.18773438,3.777993e-05
HeStutters_21_14,0.9972458,0.0021529642
MyStutteringLife_35_0,0.0012203715,0.00015898571
StutterTalk_25_162,0.00018673127,0.002205265
StutteringIsCool_80_14,0.00035131216,0.00057378726
StutterTalk_80_5,0.011789098,6.0858645e-05
HeStutters_12_126,0.9997199,0.6850852
StutteringIsCool_46_187,0.00093907875,0.0002133533
HeStutters_1_106,5.051718e-05,0.06433928
StutterTalk_20_35,0.17045131,0.006289059
StutteringIsCool_52_21,0.70711184,0.00013454416
StutteringIsCool_73_11,0.13704933,0.000111309826
WomenWhoStutter_84_30,0.00021128697,0.6831902
StutteringIsCool_31_20,0.0013464725,0.00014099316
HVSA_2_6,0.42862776,0.00038129408
StutterTalk_64_163,0.0010570891,0.0001768886
HeStutters_16_179,0.0010854836,0.00016403476
MyStutteringLife_38_10,0.9997795,0.005219192
HeStutters_13_21,0.0017691472,0.99938214
StutterTalk_25_56,0.9997073,0.0046741255
StutteringIsCool_80_61,0.00043158545,0.0005219914
HeStutters_23_189,0.0012385194,0.00017288877
HeStutters_22_184,0.0011516891,0.00014424707
StutteringIsCool_61_27,0.0016377402,0.00011930448
WomenWhoStutter_74_159,0.9880129,0.17183821
WomenWhoStutter_15_27,0.0032831687,9.597924e-05
HeStutters_16_110,0.0008117549,0.00022382167
